"","retweeter","retweeted"
"1","nauscea","SenSanders"
"2","skiptothelew","Demos_Org"
"3","evilsnuggle","TheYoungTurks"
"4","EvLTxiCaN","fightfor15"
"5","LongfellowJean","fightfor15"
"6","krinhoh","fightfor15"
"7","Neecha04544","TheYoungTurks"
"8","ColinOBoyle","Kaimandante"
"9","ninaboxe","EconomicPolicy"
"10","mckelvey_patti","fightfor15"
"11","LethiotS","fightfor15"
"12","enjoynChi","TimRunsHisMouth"
"13","Veracious_1RU","jwjnational"
"14","LethiotS","fightfor15"
"15","ramosl03","RickFor6SA"
"16","Shelton_K_","fightfor15"
"17","netminnow","fightfor15"
"18","94ickos","fightfor15"
"19","SerenityFoods","laura_garvock"
"20","goseelocal","PascoRevolution"
"21","rainbow_babiee","SenSanders"
"22","BlackUniGryphon","TheYoungTurks"
"23","LindsStreet","postandcourier"
"24","EB_imconfus","DeepSouthProud"
"25","LewisDoherty_","TheYoungTurks"
"26","History_Wonk","fightfor15"
"27","standup_kc","fightfor15"
"28","pehardconta1986","SenSanders"
"29","osletmocond1970","SenSanders"
"30","Teapublicanways","TheYoungTurks"
"31","Delendarius","TheYoungTurks"
"32","faithpeople","JoshBlanchfield"
"33","speculumfight","TheYoungTurks"
"34","Paul_Bowers","postandcourier"
"35","CaptainFutureee","TYTNetwork"
"36","RealWedeahNamoh","fightfor15"
"37","BRforBernie","Show_Me15"
"38","rotten_Jin","TYTNetwork"
"39","Jane56too","TheYoungTurks"
"40","HisaysMark","fightfor15"
"41","HisaysMark","fightfor15"
"42","Kady909","OurPoliticalRev"
"43","YOeartHeart","Marc_Perrone"
"44","SKronenbergCA","ATLRaiseUp"
"45","scottandrewh","TYTNetwork"
"46","InsiderDenny","TimRunsHisMouth"
"47","aifwp","TheYoungTurks"
"48","Phamista","zachhaller"
"49","CindyCallinsky","TheYoungTurks"
"50","pulppoetry","Fightfor15LA"
"51","armact","RaiseUpfor15"
"52","gdpr","RaiseUpfor15"
"53","JackT999","Fightfor15LA"
"54","irina_florescu","TheYoungTurks"
"55","RobinBall1961","TheYoungTurks"
"56","lplzydeco","TYTNetwork"
"57","MSandels","fightfor15"
"58","JustinTyme5","fightfor15"
"59","norplescu","TheYoungTurks"
"60","IDreamIn4D","TheYoungTurks"
"61","NeilYoungSaveUs","fightfor15"
"62","Noodoggy","TheYoungTurks"
"63","EmmaSegasture","fightfor15"
"64","dyniace","TYTNetwork"
"65","GoDominicus","TheYoungTurks"
"66","MarieJenkins10","NorCalFF15"
"67","cwaltershausen","NorCalFF15"
"68","Veracious_1RU","TheYoungTurks"
"69","rjber15","Fightfor15LA"
"70","EdHubbard","IBDeditorials"
"71","LisaAH504","TheYoungTurks"
"72","rjber15","fightfor15"
"73","sociologygeek","TYTNetwork"
