id,label,timeset,modularity_class,indegree,outdegree,degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
ScottInSC,ScottInSC,,17,18,2,20,2.0,0.75,0.8333333333333334,56.0
The_Dailey,The_Dailey,,17,23,0,23,0.0,0.0,0.0,0.0
3QUlN0X,3QUlN0X,,17,6,1,7,1.0,1.0,1.0,6.0
Patriot_Musket,Patriot_Musket,,17,32,1,33,1.0,1.0,1.0,81.0
JesseKellyDC,JesseKellyDC,,17,20,0,20,0.0,0.0,0.0,0.0
GospelPanacea,GospelPanacea,,17,7,0,7,0.0,0.0,0.0,0.0
AtlTeaPartyLove,AtlTeaPartyLove,,17,37,1,38,1.0,1.0,1.0,74.0
TwitchyTeam,TwitchyTeam,,17,34,0,34,0.0,0.0,0.0,0.0
KajmakoskiNik,KajmakoskiNik,,17,5,0,5,0.0,0.0,0.0,0.0
PCsBeard,PCsBeard,,17,73,1,74,1.0,1.0,1.0,73.0
dmorgan175,dmorgan175,,17,10,1,11,1.0,1.0,1.0,15.0
ChadTouchscreen,ChadTouchscreen,,17,18,1,19,1.0,1.0,1.0,18.0
caroljsroth,caroljsroth,,17,112,0,112,0.0,0.0,0.0,0.0
JimmyPrinceton,JimmyPrinceton,,17,81,0,81,0.0,0.0,0.0,0.0
Travesham,Travesham,,17,6,0,6,0.0,0.0,0.0,0.0
KristinBTate,KristinBTate,,17,48,1,49,1.0,1.0,1.0,55.0
NFIBResearch,NFIBResearch,,17,6,1,7,2.0,0.6666666666666666,0.75,12.0
TCC_Grouchy,TCC_Grouchy,,17,19,1,20,2.0,0.6666666666666666,0.75,44.0
truthout,truthout,,17,14,0,14,0.0,0.0,0.0,0.0
Tulsi2020,Tulsi2020,,17,33,0,33,0.0,0.0,0.0,0.0
DeepSouthProud,DeepSouthProud,,17,54,0,54,0.0,0.0,0.0,0.0
LawlessPirate,LawlessPirate,,17,356,1,357,0.0,0.0,0.0,0.0
larryelder,larryelder,,17,595,0,595,0.0,0.0,0.0,0.0
MisterMetokur,MisterMetokur,,17,141,0,141,0.0,0.0,0.0,0.0
TheMarkRomano,TheMarkRomano,,17,850,0,850,0.0,0.0,0.0,0.0
scrowder,scrowder,,17,847,0,847,0.0,0.0,0.0,0.0
LeahRBoss,LeahRBoss,,17,86,2,88,1.0,1.0,1.0,12458.5
LibsNoFun,LibsNoFun,,17,326,5,331,1.0,1.0,1.0,50831.0
emrutherford90,emrutherford90,,17,74,0,74,0.0,0.0,0.0,0.0
JoshNoneYaBiz,JoshNoneYaBiz,,17,63,5,68,2.0,0.8571428571428571,0.9166666666666666,49351.5
ms_erika74,ms_erika74,,17,73,1,74,0.0,0.0,0.0,0.0
lingling23,lingling23,,17,54,0,54,0.0,0.0,0.0,0.0
JayStylus,JayStylus,,17,68,15,83,12.0,0.13561266636071592,0.1643589630899283,1371171.745909641
DBloom451,DBloom451,,17,24,0,24,0.0,0.0,0.0,0.0
holnortes,holnortes,,17,5,0,5,0.0,0.0,0.0,0.0
truther2witter,truther2witter,,17,6,0,6,0.0,0.0,0.0,0.0
Pcjmom,Pcjmom,,17,9,0,9,0.0,0.0,0.0,0.0
kennethclass,kennethclass,,17,6,0,6,0.0,0.0,0.0,0.0
xBenJamminx,xBenJamminx,,17,9,0,9,0.0,0.0,0.0,0.0
osPatriot,osPatriot,,17,7,3,10,2.0,0.6153846153846154,0.6875,53.0
OttoTheTerrible,OttoTheTerrible,,17,8,3,11,1.0,1.0,1.0,24383.0
terrymendozer,terrymendozer,,17,6,1,7,2.0,0.6666666666666666,0.75,10.0
PC_GoneWild,PC_GoneWild,,17,5,7,12,14.0,0.21128747795414463,0.2637340029660558,2879.5
Artist_Angie,Artist_Angie,,17,18,1,19,1.0,1.0,1.0,12300.0
CareyBest,CareyBest,,17,17,0,17,0.0,0.0,0.0,0.0
AnthonyBialy,AnthonyBialy,,17,6,1,7,1.0,1.0,1.0,56.0
KenDiesel,KenDiesel,,17,5,3,8,10.0,0.17699910152740342,0.19518370800096718,1083218.0
MontyDraxel,MontyDraxel,,17,11,1,12,1.0,1.0,1.0,11.0
PeterPaschal7,PeterPaschal7,,17,5,0,5,0.0,0.0,0.0,0.0
MattWalshBlog,MattWalshBlog,,17,102,0,102,0.0,0.0,0.0,0.0
PDXGREG,PDXGREG,,17,9,1,10,4.0,0.417910447761194,0.4449404761904762,384.0
GOPjenna,GOPjenna,,17,5,1,6,1.0,1.0,1.0,5.0
JaynePenelope,JaynePenelope,,17,23,37,60,3.0,0.7088607594936709,0.8125,1576.0
Kek_Magician,Kek_Magician,,17,29,3,32,2.0,0.6153846153846154,0.6875,222.0
ohnostudio,ohnostudio,,17,34,1,35,1.0,1.0,1.0,12256.0
Shimmyfab,Shimmyfab,,17,13,2,15,1.0,1.0,1.0,31.0
gt_rman,gt_rman,,17,6,3,9,1.0,1.0,1.0,18.0
nowiknowmyabcs,nowiknowmyabcs,,17,24,0,24,0.0,0.0,0.0,0.0
somethingldsay,somethingldsay,,17,57,0,57,0.0,0.0,0.0,0.0
ScottPresler,ScottPresler,,17,94,0,94,0.0,0.0,0.0,0.0
JFrancisc0413,JFrancisc0413,,17,5,1,6,2.0,0.6666666666666666,0.75,10.0
Azleatherneck,Azleatherneck,,17,8,0,8,0.0,0.0,0.0,0.0
Just_a_Texan,Just_a_Texan,,17,12,1,13,3.0,0.4,0.45833333333333337,96.0
xmssweetnessx,xmssweetnessx,,17,6,5,11,1.0,1.0,1.0,29.0
DemonTwoSix,DemonTwoSix,,17,7,0,7,0.0,0.0,0.0,0.0
altageno,altageno,,17,15,1,16,2.0,0.5555555555555556,0.6,65.0
iDis0rder,iDis0rder,,17,15,0,15,0.0,0.0,0.0,0.0
StocksAlotTEMP,StocksAlotTEMP,,17,21,0,21,0.0,0.0,0.0,0.0
TheLibRepublic,TheLibRepublic,,17,8,0,8,0.0,0.0,0.0,0.0
texasfreedom101,texasfreedom101,,17,5,13,18,2.0,0.8823529411764706,0.9333333333333333,514.45
Corporatocrazy,Corporatocrazy,,17,32,0,32,0.0,0.0,0.0,0.0
KurtSchlichter,KurtSchlichter,,17,11,1,12,1.0,1.0,1.0,10.0
TejanoX,TejanoX,,17,9,0,9,0.0,0.0,0.0,0.0
aaronpwillis,aaronpwillis,,17,6,0,6,0.0,0.0,0.0,0.0
rahagar,rahagar,,17,6,0,6,0.0,0.0,0.0,0.0
TruePatriotHere,TruePatriotHere,,17,6,0,6,0.0,0.0,0.0,0.0
Tombx7M,Tombx7M,,17,5,1,6,2.0,0.5454545454545454,0.5833333333333334,24.0
danmsnyder,danmsnyder,,17,7,2,9,3.0,0.5384615384615384,0.619047619047619,69.0
michellemalkin,michellemalkin,,17,252,0,252,0.0,0.0,0.0,0.0
ARSquared,ARSquared,,17,10,2,12,1.0,1.0,1.0,19.5
_donaldson,_donaldson,,17,8,1,9,1.0,1.0,1.0,7.0
BlueFalcon3P,BlueFalcon3P,,17,8,1,9,1.0,1.0,1.0,10.0
