Source,Target,Type,id,label,timeset,weight
nauscea,SenSanders,Directed,0,,,1.0
skiptothelew,Demos_Org,Directed,1,,,1.0
evilsnuggle,TheYoungTurks,Directed,2,,,1.0
EvLTxiCaN,fightfor15,Directed,3,,,6.0
LongfellowJean,fightfor15,Directed,4,,,58.0
krinhoh,fightfor15,Directed,5,,,1.0
Neecha04544,TheYoungTurks,Directed,6,,,1.0
ColinOBoyle,Kaimandante,Directed,7,,,1.0
ninaboxe,EconomicPolicy,Directed,8,,,1.0
mckelvey_patti,fightfor15,Directed,9,,,1.0
LethiotS,fightfor15,Directed,10,,,2.0
enjoynChi,TimRunsHisMouth,Directed,11,,,1.0
Veracious_1RU,jwjnational,Directed,12,,,3.0
ramosl03,RickFor6SA,Directed,14,,,1.0
Shelton_K_,fightfor15,Directed,15,,,2.0
netminnow,fightfor15,Directed,16,,,1.0
94ickos,fightfor15,Directed,17,,,10.0
SerenityFoods,laura_garvock,Directed,18,,,1.0
goseelocal,PascoRevolution,Directed,19,,,1.0
rainbow_babiee,SenSanders,Directed,20,,,1.0
BlackUniGryphon,TheYoungTurks,Directed,21,,,1.0
LindsStreet,postandcourier,Directed,22,,,1.0
EB_imconfus,DeepSouthProud,Directed,23,,,1.0
LewisDoherty_,TheYoungTurks,Directed,24,,,1.0
History_Wonk,fightfor15,Directed,25,,,1.0
standup_kc,fightfor15,Directed,26,,,2.0
pehardconta1986,SenSanders,Directed,27,,,1.0
osletmocond1970,SenSanders,Directed,28,,,1.0
Teapublicanways,TheYoungTurks,Directed,29,,,1.0
Delendarius,TheYoungTurks,Directed,30,,,1.0
faithpeople,JoshBlanchfield,Directed,31,,,1.0
speculumfight,TheYoungTurks,Directed,32,,,1.0
Paul_Bowers,postandcourier,Directed,33,,,1.0
CaptainFutureee,TYTNetwork,Directed,34,,,1.0
RealWedeahNamoh,fightfor15,Directed,35,,,4.0
BRforBernie,Show_Me15,Directed,36,,,1.0
rotten_Jin,TYTNetwork,Directed,37,,,1.0
Jane56too,TheYoungTurks,Directed,38,,,1.0
HisaysMark,fightfor15,Directed,39,,,10.0
Kady909,OurPoliticalRev,Directed,41,,,1.0
YOeartHeart,Marc_Perrone,Directed,42,,,1.0
SKronenbergCA,ATLRaiseUp,Directed,43,,,1.0
scottandrewh,TYTNetwork,Directed,44,,,1.0
InsiderDenny,TimRunsHisMouth,Directed,45,,,1.0
aifwp,TheYoungTurks,Directed,46,,,2.0
Phamista,zachhaller,Directed,47,,,1.0
CindyCallinsky,TheYoungTurks,Directed,48,,,1.0
pulppoetry,Fightfor15LA,Directed,49,,,1.0
armact,RaiseUpfor15,Directed,50,,,1.0
gdpr,RaiseUpfor15,Directed,51,,,1.0
JackT999,Fightfor15LA,Directed,52,,,1.0
irina_florescu,TheYoungTurks,Directed,53,,,1.0
RobinBall1961,TheYoungTurks,Directed,54,,,1.0
lplzydeco,TYTNetwork,Directed,55,,,1.0
MSandels,fightfor15,Directed,56,,,1.0
JustinTyme5,fightfor15,Directed,57,,,19.0
