id,label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum
nauscea,nauscea,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1
SenSanders,SenSanders,,5525,0,5525,6507.0,0.0,6507.0,0.0,0.0,0.0,0.0,0,0,0
skiptothelew,skiptothelew,,0,1,1,0.0,1.0,1.0,14.0,0.20006747638326586,0.2386107053897944,0.0,0,0,326
Demos_Org,Demos_Org,,71,5,76,73.0,6.0,79.0,13.0,0.24968367777309153,0.3273094304344308,35543.191663762496,0,0,325
evilsnuggle,evilsnuggle,,0,2,2,0.0,2.0,2.0,14.0,0.20924488355681017,0.257064090116366,0.0,0,0,328
TheYoungTurks,TheYoungTurks,,36,0,36,37.0,0.0,37.0,0.0,0.0,0.0,0.0,0,0,327
EvLTxiCaN,EvLTxiCaN,,0,17,17,0.0,34.0,34.0,13.0,0.25309432351685873,0.34390996861485973,0.0,0,0,330
fightfor15,fightfor15,,3436,166,3602,5364.0,393.0,5757.0,12.0,0.3256198347107438,0.5300871294526115,5199445.606728717,0,0,324
LongfellowJean,LongfellowJean,,0,80,80,0.0,244.0,244.0,13.0,0.2774133083411434,0.42528240340740414,0.0,0,0,331
krinhoh,krinhoh,,0,2,2,0.0,2.0,2.0,13.0,0.24615384615384617,0.32070148320148345,0.0,0,0,332
Neecha04544,Neecha04544,,0,3,3,0.0,3.0,3.0,13.0,0.24936921783010935,0.32664505253038173,0.0,0,0,333
ColinOBoyle,ColinOBoyle,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,335
Kaimandante,Kaimandante,,1042,0,1042,1051.0,0.0,1051.0,0.0,0.0,0.0,0.0,0,0,334
ninaboxe,ninaboxe,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,336
EconomicPolicy,EconomicPolicy,,2291,0,2291,2379.0,0.0,2379.0,0.0,0.0,0.0,0.0,0,0,36
mckelvey_patti,mckelvey_patti,,0,11,11,0.0,11.0,11.0,13.0,0.25373771892353697,0.34002010895950346,0.0,0,0,339
LethiotS,LethiotS,,0,1,1,0.0,2.0,2.0,13.0,0.24594931449937682,0.31957535707535734,0.0,0,0,340
enjoynChi,enjoynChi,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,17,0,342
TimRunsHisMouth,TimRunsHisMouth,,15,0,15,15.0,0.0,15.0,0.0,0.0,0.0,0.0,17,0,341
Veracious_1RU,Veracious_1RU,,0,2,2,0.0,4.0,4.0,14.0,0.203360768175583,0.24524364524364464,0.0,0,0,343
jwjnational,jwjnational,,247,9,256,286.0,11.0,297.0,13.0,0.2544123977615153,0.33855135276455106,92943.32064512026,0,0,324
ramosl03,ramosl03,,0,1,1,0.0,1.0,1.0,14.0,0.19766666666666666,0.2350252239796924,0.0,0,0,345
RickFor6SA,RickFor6SA,,1,1,2,1.0,1.0,2.0,13.0,0.24594931449937682,0.31957535707535734,592.0000000000001,0,0,344
Shelton_K_,Shelton_K_,,0,2,2,0.0,3.0,3.0,13.0,0.24625623960066556,0.3208422489672492,0.0,0,0,346
netminnow,netminnow,,0,6,6,0.0,7.0,7.0,13.0,0.2480133835215391,0.32727140762553947,0.0,0,0,348
94ickos,94ickos,,0,13,13,0.0,26.0,26.0,13.0,0.254842875591907,0.342005376380377,0.0,0,0,349
SerenityFoods,SerenityFoods,,0,3,3,0.0,3.0,3.0,14.0,0.2096147048427006,0.25889095914390964,0.0,0,0,351
laura_garvock,laura_garvock,,15,1,16,16.0,1.0,17.0,1.0,1.0,1.0,13.0,0,0,350
goseelocal,goseelocal,,0,2,2,0.0,2.0,2.0,15.0,0.17104882981797168,0.20005115942616025,0.0,0,0,352
PascoRevolution,PascoRevolution,,84,1,85,100.0,1.0,101.0,1.0,1.0,1.0,12213.0,0,0,222
rainbow_babiee,rainbow_babiee,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,353
BlackUniGryphon,BlackUniGryphon,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,354
LindsStreet,LindsStreet,,0,1,1,0.0,1.0,1.0,16.0,0.14594594594594595,0.1627739007158204,0.0,0,0,356
postandcourier,postandcourier,,13,1,14,13.0,2.0,15.0,15.0,0.17059838895281934,0.1961617827553754,4753.474999999999,0,0,355
EB_imconfus,EB_imconfus,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,17,0,358
DeepSouthProud,DeepSouthProud,,54,0,54,55.0,0.0,55.0,0.0,0.0,0.0,0.0,17,0,357
LewisDoherty_,LewisDoherty_,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,359
History_Wonk,History_Wonk,,0,2,2,0.0,2.0,2.0,13.0,0.2460515378221114,0.32041995166995196,0.0,0,0,360
standup_kc,standup_kc,,215,10,225,259.0,16.0,275.0,13.0,0.2532133676092545,0.3375361243381553,67309.84975333276,0,0,324
pehardconta1986,pehardconta1986,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,361
osletmocond1970,osletmocond1970,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,362
Teapublicanways,Teapublicanways,,0,10,10,0.0,16.0,16.0,13.0,0.25341296928327645,0.336336446942508,0.0,0,0,364
Delendarius,Delendarius,,0,19,19,0.0,23.0,23.0,13.0,0.2569084628670121,0.34944064339022385,0.0,0,0,366
faithpeople,faithpeople,,0,1,1,0.0,1.0,1.0,14.0,0.1994627266621894,0.2379685036250689,0.0,0,0,369
JoshBlanchfield,JoshBlanchfield,,3,4,7,3.0,5.0,8.0,13.0,0.24874161073825504,0.3258099124035046,1220.083333333333,0,0,368
speculumfight,speculumfight,,0,4,4,0.0,4.0,4.0,14.0,0.20968882602545968,0.25973412946431435,0.0,0,0,370
Paul_Bowers,Paul_Bowers,,0,2,2,0.0,2.0,2.0,15.0,0.17083692838654013,0.19751504574736972,0.0,0,0,371
CaptainFutureee,CaptainFutureee,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,373
TYTNetwork,TYTNetwork,,9,0,9,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0,0,372
RealWedeahNamoh,RealWedeahNamoh,,0,20,20,0.0,27.0,27.0,13.0,0.2573913043478261,0.3516337547587554,0.0,0,0,374
BRforBernie,BRforBernie,,0,3,3,0.0,3.0,3.0,14.0,0.20763305322128853,0.25504851154092234,0.0,0,0,376
Show_Me15,Show_Me15,,1117,23,1140,2012.0,48.0,2060.0,13.0,0.2609271523178808,0.35913792918869125,571843.6075013218,0,0,324
rotten_Jin,rotten_Jin,,0,4,4,0.0,5.0,5.0,13.0,0.23011253395421033,0.28644188863413134,0.0,0,0,377
Jane56too,Jane56too,,0,2,2,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0,0,378
HisaysMark,HisaysMark,,0,9,9,0.0,24.0,24.0,13.0,0.2573784722222222,0.3455882790621413,0.0,0,0,380
Kady909,Kady909,,0,1,1,0.0,1.0,1.0,14.0,0.2020442930153322,0.2424451227992537,0.0,0,0,381
OurPoliticalRev,OurPoliticalRev,,60,8,68,66.0,9.0,75.0,13.0,0.2527754056362084,0.3355583043083048,14903.842035826774,0,0,365
YOeartHeart,YOeartHeart,,0,1,1,0.0,1.0,1.0,15.0,0.17698056801195813,0.20813848782598834,0.0,0,0,382
Marc_Perrone,Marc_Perrone,,411,4,415,438.0,4.0,442.0,14.0,0.21467490010897203,0.27163557442745184,202527.68180801926,0,0,324
SKronenbergCA,SKronenbergCA,,0,2,2,0.0,2.0,2.0,14.0,0.19839142091152814,0.23789970352470313,0.0,0,0,383
ATLRaiseUp,ATLRaiseUp,,304,3,307,422.0,10.0,432.0,13.0,0.246661101836394,0.3227951687342553,81900.57002870111,0,0,324
scottandrewh,scottandrewh,,0,3,3,0.0,3.0,3.0,14.0,0.20763305322128853,0.25504851154092234,0.0,0,0,384
InsiderDenny,InsiderDenny,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,17,0,385
aifwp,aifwp,,0,2,2,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0,0,387
Phamista,Phamista,,0,1,1,0.0,1.0,1.0,15.0,0.17304881613563286,0.20142597173847243,0.0,0,0,388
zachhaller,zachhaller,,142,5,147,155.0,6.0,161.0,14.0,0.20890774125132555,0.2601296522616313,42693.64372577242,0,0,324
CindyCallinsky,CindyCallinsky,,3,1,4,3.0,1.0,4.0,1.0,1.0,1.0,5.0,0,0,389
pulppoetry,pulppoetry,,0,1,1,0.0,1.0,1.0,14.0,0.2089657606777268,0.2558091308091301,0.0,0,0,390
Fightfor15LA,Fightfor15LA,,985,29,1014,1402.0,81.0,1483.0,13.0,0.2637215528781794,0.36680854396590507,506926.4394304443,0,0,324
armact,armact,,0,1,1,0.0,1.0,1.0,14.0,0.20534165799514395,0.24937412437412365,0.0,0,0,391
RaiseUpfor15,RaiseUpfor15,,1144,21,1165,1699.0,31.0,1730.0,13.0,0.25796595373199477,0.35217233415203025,466094.1482314561,0,0,324
gdpr,gdpr,,0,1,1,0.0,1.0,1.0,14.0,0.20534165799514395,0.24937412437412365,0.0,0,0,392
JackT999,JackT999,,0,2,2,0.0,2.0,2.0,14.0,0.2091133874955846,0.2569352569352562,0.0,0,0,393
irina_florescu,irina_florescu,,0,22,22,0.0,25.0,25.0,13.0,0.2610213880401571,0.3603966267845872,0.0,0,0,399
RobinBall1961,RobinBall1961,,1,5,6,1.0,5.0,6.0,13.0,0.24688279301745636,0.3238304344364953,594.0000000000001,0,0,401
lplzydeco,lplzydeco,,0,7,7,0.0,7.0,7.0,13.0,0.2559241706161137,0.34099413493352926,0.0,0,0,402
MSandels,MSandels,,0,1,1,0.0,1.0,1.0,13.0,0.24594931449937682,0.31957535707535734,0.0,0,0,403
JustinTyme5,JustinTyme5,,0,84,84,0.0,152.0,152.0,12.0,0.30035514967021815,0.4421703156078162,0.0,0,0,404
norplescu,norplescu,,0,4,4,0.0,4.0,4.0,13.0,0.23355651831429697,0.29308687377827336,0.0,0,0,405
IDreamIn4D,IDreamIn4D,,0,11,11,0.0,14.0,14.0,14.0,0.219385867554569,0.2870809535227741,0.0,0,0,406
NeilYoungSaveUs,NeilYoungSaveUs,,0,9,9,0.0,13.0,13.0,13.0,0.25266297400937365,0.3348519103156543,0.0,0,0,407
Noodoggy,Noodoggy,,0,14,14,0.0,16.0,16.0,13.0,0.26343612334801764,0.3579161362606185,0.0,0,0,411
EmmaSegasture,EmmaSegasture,,0,13,13,0.0,17.0,17.0,13.0,0.25971191619380185,0.3516255173398035,0.0,0,0,414
dyniace,dyniace,,0,5,5,0.0,6.0,6.0,14.0,0.20385012031625988,0.2491503343948531,0.0,0,0,415
GoDominicus,GoDominicus,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,416
MarieJenkins10,MarieJenkins10,,0,68,68,0.0,172.0,172.0,12.0,0.29162609542356377,0.418472165008059,0.0,0,0,424
