"","id","label","timeset","indegree","outdegree","degree","weighted.indegree","weighted.outdegree","weighted.degree","eccentricity","closnesscentrality","harmonicclosnesscentrality","betweenesscentrality","modularity_class","componentnumber","strongcompnum"
"8","fightfor15","fightfor15",NA,3436,166,3602,5364,393,5757,12,0.325619834710744,0.530087129452611,5199445.60672872,0,0,324
"6873","LUCHA_AZ","LUCHA_AZ",NA,122,9,131,137,9,146,11,0.287731256085686,0.357445069500908,1483598.56547589,0,0,324
"1556","CPDAction","CPDAction",NA,4,30,34,4,31,35,10,0.289422135161606,0.358013724384283,1450446.35849334,0,0,324
"15680","JayStylus","JayStylus",NA,68,15,83,79,16,95,12,0.135612666360716,0.164358963089928,1371171.74590964,17,0,324
"22733","Sarah559408891","Sarah559408891",NA,3,3,6,3,3,6,11,0.151383196721311,0.164469935028311,1116254,17,0,324
"149","chifightfor15","chifightfor15",NA,2318,27,2345,3286,54,3340,13,0.261388766032729,0.363621854738606,1098586.27505671,0,0,324
"4947","KenDiesel","KenDiesel",NA,5,3,8,6,3,9,10,0.176999101527403,0.195183708000967,1083218,17,0,324
"18208","airwolf1967","airwolf1967",NA,4,9,13,4,9,13,9,0.213665943600868,0.247068460774045,1061173.5,17,0,324
"15810","OzarkFinesseGuy","OzarkFinesseGuy",NA,1,46,47,1,51,52,10,0.261968085106383,0.327828807778046,915451.5,17,0,324
"52","Show_Me15","Show_Me15",NA,1117,23,1140,2012,48,2060,13,0.260927152317881,0.359137929188691,571843.607501322,0,0,324
"125","People4Bernie","People4Bernie",NA,237,75,312,271,121,392,12,0.29728370221328,0.431356164985608,540129.502613037,0,0,324
"69","Fightfor15LA","Fightfor15LA",NA,985,29,1014,1402,81,1483,13,0.263721552878179,0.366808543965905,506926.439430444,0,0,324
"71","RaiseUpfor15","RaiseUpfor15",NA,1144,21,1165,1699,31,1730,13,0.257965953731995,0.35217233415203,466094.148231456,0,0,324
"430","32BJSEIU","32BJSEIU",NA,325,30,355,472,42,514,13,0.266456266907124,0.374507359532741,406185.990041913,0,0,324
"1222","GoodAirports","GoodAirports",NA,247,47,294,403,94,497,13,0.271100917431193,0.393683896475775,394786.196096819,0,0,324
"1210","fightfor15mass","fightfor15mass",NA,358,27,385,445,57,502,13,0.266937669376694,0.374732965849718,311673.909027818,0,0,324
"5986","txblondegrad","txblondegrad",NA,3,18,21,3,19,22,11,0.272475795297372,0.35123283841558,271489.5,17,0,324
"157","FightFor15FL","FightFor15FL",NA,558,22,580,894,67,961,13,0.255844155844156,0.350883155197877,247196.907973689,0,0,324
"2045","ettacetera","ettacetera",NA,47,12,59,66,17,83,13,0.256510416666667,0.34120222698903,214395.639969217,0,0,324
"872","JamieEldridgeMA","JamieEldridgeMA",NA,65,13,78,81,15,96,13,0.224288425047438,0.282548613259273,208277.433166627,0,0,324
"59","Marc_Perrone","Marc_Perrone",NA,411,4,415,438,4,442,14,0.214674900108972,0.271635574427452,202527.681808019,0,0,324
"665","FastFoodForward","FastFoodForward",NA,305,27,332,402,69,471,13,0.262084257206208,0.36407306737256,183471.292407038,0,0,324
"3485","buell003","buell003",NA,13,8,21,13,9,22,13,0.259438103599649,0.343627494896531,163417.034752927,0,0,324
"2155","RaiseUpMA","RaiseUpMA",NA,162,16,178,257,30,287,13,0.259324265028521,0.353018357840693,162665.275766904,0,0,324
"193","fairwagesnow","fairwagesnow",NA,34,21,55,52,33,85,13,0.258643326039387,0.355612830485928,146950.367358549,0,0,324
