"","id","betweenesscentrality.x","X","label","timeset","Type","indegree","outdegree","degree","weighted.indegree","weighted.outdegree","weighted.degree","eccentricity","closnesscentrality","harmonicclosnesscentrality","betweenesscentrality.y","modularity_class","componentnumber","strongcompnum"
"1","fightfor15",5199445.60672872,8,"fightfor15",NA,6,3436,166,3602,5364,393,5757,12,325619834710744,530087129452611,519944560672872,0,0,324
"2","LUCHA_AZ",1483598.56547589,6873,"LUCHA_AZ",NA,1,122,9,131,137,9,146,11,287731256085686,357445069500908,148359856547589,0,0,324
"3","CPDAction",1450446.35849334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","JayStylus",1371171.74590964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Sarah559408891",1116254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","chifightfor15",1098586.27505671,149,"chifightfor15",NA,6,2318,27,2345,3286,54,3340,13,261388766032729,363621854738606,109858627505671,0,0,324
"7","KenDiesel",1083218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","airwolf1967",1061173.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","OzarkFinesseGuy",915451.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Show_Me15",571843.607501322,52,"Show_Me15",NA,6,1117,23,1140,2012,48,2060,13,260927152317881,359137929188691,571843607501322,0,0,324
"11","People4Bernie",540129.502613037,125,"People4Bernie",NA,6,237,75,312,271,121,392,12,29728370221328,431356164985608,540129502613037,0,0,324
"12","Fightfor15LA",506926.439430444,69,"Fightfor15LA",NA,6,985,29,1014,1402,81,1483,13,263721552878179,366808543965905,506926439430444,0,0,324
"13","RaiseUpfor15",466094.148231456,71,"RaiseUpfor15",NA,6,1144,21,1165,1699,31,1730,13,257965953731995,35217233415203,466094148231456,0,0,324
