,id,label,timeset,Type,indegree,outdegree,degree,weighted.indegree,weighted.outdegree,weighted.degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum
2,SenSanders,SenSanders,NA,2,5525,0,5525,6507,0,6507,0,0,0,0,0,0,0
8,fightfor15,fightfor15,NA,6,3436,166,3602,5364,393,5757,12,325619834710744,530087129452611,519944560672872,0,0,324
149,chifightfor15,chifightfor15,NA,6,2318,27,2345,3286,54,3340,13,261388766032729,363621854738606,109858627505671,0,0,324
15,EconomicPolicy,EconomicPolicy,NA,1,2291,0,2291,2379,0,2379,0,0,0,0,0,0,36
342,RevDrBarber,RevDrBarber,NA,5,1169,0,1169,1171,0,1171,0,0,0,0,0,0,65
71,RaiseUpfor15,RaiseUpfor15,NA,6,1144,21,1165,1699,31,1730,13,257965953731995,35217233415203,466094148231456,0,0,324
52,Show_Me15,Show_Me15,NA,6,1117,23,1140,2012,48,2060,13,260927152317881,359137929188691,571843607501322,0,0,324
906,DerrickQLewis,DerrickQLewis,NA,3,1115,0,1115,1219,0,1219,0,0,0,0,0,0,73
13,Kaimandante,Kaimandante,NA,4,1042,0,1042,1051,0,1051,0,0,0,0,0,0,334
69,Fightfor15LA,Fightfor15LA,NA,6,985,29,1014,1402,81,1483,13,263721552878179,366808543965905,506926439430444,0,0,324
1089,TheMarkRomano,TheMarkRomano,NA,5,850,0,850,950,0,950,0,0,0,0,17,0,93
1148,scrowder,scrowder,NA,5,847,0,847,923,0,923,0,0,0,0,17,0,108
539,SenWarren,SenWarren,NA,2,698,0,698,699,0,699,0,0,0,0,0,0,24
265,MarkRuffalo,MarkRuffalo,NA,5,622,0,622,622,0,622,0,0,0,0,0,0,16
165,UR_Ninja,UR_Ninja,NA,6,598,0,598,686,0,686,0,0,0,0,0,0,89
742,larryelder,larryelder,NA,5,595,0,595,618,0,618,0,0,0,0,17,0,453
157,FightFor15FL,FightFor15FL,NA,6,558,22,580,894,67,961,13,255844155844156,350883155197877,247196907973689,0,0,324
316,ChrisJZullo,ChrisJZullo,NA,5,545,1,546,651,2,653,0,0,0,0,0,0,32
488,RoseAnnDeMoro,RoseAnnDeMoro,NA,5,442,0,442,486,0,486,0,0,0,0,0,0,6
59,Marc_Perrone,Marc_Perrone,NA,1,411,4,415,438,4,442,14,214674900108972,271635574427452,202527681808019,0,0,324
1210,fightfor15mass,fightfor15mass,NA,6,358,27,385,445,57,502,13,266937669376694,374732965849718,311673909027818,0,0,324
451,LawlessPirate,LawlessPirate,NA,5,356,1,357,358,1,359,0,0,0,0,17,0,105
3483,LibsNoFun,LibsNoFun,NA,5,326,5,331,358,5,363,1,1,1,50831,17,0,103
430,32BJSEIU,32BJSEIU,NA,1,325,30,355,472,42,514,13,266456266907124,374507359532741,406185990041913,0,0,324
665,FastFoodForward,FastFoodForward,NA,6,305,27,332,402,69,471,13,262084257206208,36407306737256,183471292407038,0,0,324
61,ATLRaiseUp,ATLRaiseUp,NA,6,304,3,307,422,10,432,13,246661101836394,322795168734255,819005700287011,0,0,324
118,fightfor15texas,fightfor15texas,NA,6,303,10,313,428,37,465,13,254521963824289,339651183559814,715705762907343,0,0,324
2011,DerenicByrd,DerenicByrd,NA,4,295,4,299,297,4,301,14,202605416523826,245791565080905,123940431113433,0,0,324
412,1alyssakang,1alyssakang,NA,4,286,2,288,294,2,296,13,245942571785268,320398101616376,718723210326826,0,0,324
87,NorCalFF15,NorCalFF15,NA,6,285,26,311,370,70,440,13,261736049601417,363057838946164,13179673719374,0,0,324
824,Detroit_15,Detroit_15,NA,6,275,6,281,375,12,387,13,248842105263158,328914740082253,653317951465975,0,0,324
1162,michellemalkin,michellemalkin,NA,5,252,0,252,252,0,252,0,0,0,0,17,0,150
1577,AFLCIO,AFLCIO,NA,1,252,14,266,267,22,289,13,260008798944127,35056488914357,130735672595851,0,0,324
2039,ajplus,ajplus,NA,3,252,0,252,252,0,252,0,0,0,0,0,0,578
3075,TheNewDeal,TheNewDeal,NA,5,252,0,252,279,0,279,0,0,0,0,0,0,21
21,jwjnational,jwjnational,NA,1,247,9,256,286,11,297,13,254412397761515,338551352764551,929433206451203,0,0,324
1222,GoodAirports,GoodAirports,NA,6,247,47,294,403,94,497,13,271100917431193,393683896475775,394786196096819,0,0,324
3789,GatorsEite23,GatorsEite23,NA,4,245,5,250,277,6,283,14,205422314911366,254372662494489,936001131218989,0,0,324
125,People4Bernie,People4Bernie,NA,6,237,75,312,271,121,392,12,29728370221328,431356164985608,540129502613037,0,0,324
1576,DemSocialists,DemSocialists,NA,1,226,12,238,271,19,290,12,268027210884354,348312896916959,861087708070183,0,0,324
172,FF15ChildCare,FF15ChildCare,NA,6,220,15,235,318,22,340,13,26012323943662,353215763368048,999154500613754,0,0,324
1633,democracynow,democracynow,NA,3,220,0,220,237,0,237,0,0,0,0,0,0,5
39,standup_kc,standup_kc,NA,6,215,10,225,259,16,275,13,253213367609255,337536124338155,673098497533328,0,0,324
3422,MoveOn,MoveOn,NA,1,213,1,214,266,1,267,14,207150368033649,252668529064467,769188867232714,0,0,324
10406,AriseChicago,AriseChicago,NA,1,202,1,203,214,1,215,14,207295685724307,253756273807034,276130025704693,0,0,324
