"","id","label","timeset","indegree","outdegree","degree","weighted.indegree","weighted.outdegree","weighted.degree","eccentricity","closnesscentrality","harmonicclosnesscentrality","betweenesscentrality","modularity_class","componentnumber","strongcompnum"
"10662","SaVonniYestanti","SaVonniYestanti",NA,19,383,402,23,516,539,12,0.417682926829268,0.632514591769023,21852.1257835268,0,0,1737
"8","fightfor15","fightfor15",NA,3436,166,3602,5364,393,5757,12,0.325619834710744,0.530087129452611,5199445.60672872,0,0,324
"3371","DOJSuedFerguson","DOJSuedFerguson",NA,0,126,126,0,172,172,13,0.306289881494986,0.47884501411287,0,0,0,4101
"89","rjber15","rjber15",NA,0,124,124,0,465,465,12,0.31165452653486,0.483330261836105,0,0,0,432
"2987","lord_nikon9","lord_nikon9",NA,2,115,117,2,153,155,13,0.342867357883447,0.470867181711809,3831.47216067558,0,0,1737
"378","sc1199","sc1199",NA,0,106,106,0,202,202,12,0.305696846388606,0.463474476161664,0,0,0,795
"78","JustinTyme5","JustinTyme5",NA,0,84,84,0,152,152,12,0.300355149670218,0.442170315607816,0,0,0,404
"9","LongfellowJean","LongfellowJean",NA,0,80,80,0,244,244,13,0.277413308341143,0.425282403407404,0,0,0,331
"98","leoluminary","leoluminary",NA,0,80,80,0,125,125,12,0.299605133267522,0.437091971729534,0,0,0,451
"125","People4Bernie","People4Bernie",NA,237,75,312,271,121,392,12,0.29728370221328,0.431356164985608,540129.502613037,0,0,324
"86","MarieJenkins10","MarieJenkins10",NA,0,68,68,0,172,172,12,0.291626095423564,0.418472165008059,0,0,0,424
"229","conlimonisal","conlimonisal",NA,0,53,53,0,136,136,13,0.273891175125743,0.401308596801085,0,0,0,621
"25343","jallen1299","jallen1299",NA,0,51,51,0,66,66,12,0.333448993754337,0.422752161123648,0,0,0,25310
"662","disruptivedigit","disruptivedigit",NA,0,47,47,0,91,91,13,0.275395033860045,0.399190281485364,0,0,0,1118
"1222","GoodAirports","GoodAirports",NA,247,47,294,403,94,497,13,0.271100917431193,0.393683896475775,394786.196096819,0,0,324
"758","pgrandee10","pgrandee10",NA,0,46,46,0,80,80,12,0.284548944337812,0.39538756634035,0,0,0,1216
"15810","OzarkFinesseGuy","OzarkFinesseGuy",NA,1,46,47,1,51,52,10,0.261968085106383,0.327828807778046,915451.5,17,0,324
"2078","LaborDemocracy_","LaborDemocracy_",NA,7,44,51,9,97,106,13,0.270480549199085,0.391371431726762,26386.3128937786,0,0,324
"14531","OldSaukRiver","OldSaukRiver",NA,0,44,44,0,68,68,12,0.282567947516401,0.388360685748746,0,0,0,14868
"15353","graygoods","graygoods",NA,0,44,44,0,53,53,13,0.273224043715847,0.392806415806417,0,0,0,15629
"105","grannysidney","grannysidney",NA,0,43,43,0,69,69,13,0.27337807606264,0.391790261021031,0,0,0,474
"332","burnodo","burnodo",NA,0,43,43,0,103,103,13,0.273853211009174,0.395813259883612,0,0,0,740
"664","tizutyanchiz","tizutyanchiz",NA,0,43,43,0,157,157,13,0.275046382189239,0.396796823188055,0,0,0,1120
"4022","_green_mountain","_green_mountain",NA,0,43,43,0,78,78,12,0.289115646258503,0.40044508712576,0,0,0,4708
"7112","joelfrominwood","joelfrominwood",NA,1,42,43,1,75,76,13,0.272933696639419,0.392596532696367,601,0,0,7730
"2893","Konducta4LFE","Konducta4LFE",NA,0,41,41,0,64,64,12,0.28203906622201,0.388144414706915,0,0,0,3609
"139","montyiavelli","montyiavelli",NA,0,40,40,0,81,81,13,0.264167782240071,0.376999745749746,0,0,0,523
"4756","SharonP83012021","SharonP83012021",NA,0,40,40,0,61,61,13,0.272357723577236,0.388502790741597,0,0,0,5438
"470","JudyJones1990","JudyJones1990",NA,0,39,39,0,53,53,12,0.290416263310745,0.397941378066379,0,0,0,917
"8275","Jodi7768","Jodi7768",NA,0,38,38,0,45,45,13,0.268744354110208,0.383614312858011,0,0,0,8836
"12571","JaynePenelope","JaynePenelope",NA,23,37,60,26,44,70,3,0.708860759493671,0.8125,1576,17,0,902
"1176","SEIU","SEIU",NA,109,36,145,124,65,189,13,0.26986301369863,0.384405836690101,54829.296086612,0,0,324
"14101","cjgrimes","cjgrimes",NA,0,36,36,0,40,40,13,0.263525305410122,0.371827565370612,0,0,0,14463
"4606","SUNYLF","SUNYLF",NA,1,34,35,1,40,41,13,0.2617823479006,0.364730795663693,179.227340595661,0,0,5286
"8375","PhillyCluw","PhillyCluw",NA,11,34,45,20,68,88,12,0.282588011417697,0.383975578293761,2384.57127551209,0,0,470
"13142","sickjew","sickjew",NA,1,34,35,1,78,79,14,0.237146273415703,0.341550149197208,119.252740534319,0,0,13548
"771","gskiii_15217","gskiii_15217",NA,0,33,33,0,45,45,13,0.273018781493358,0.38593487049863,0,0,0,1230
"1284","gramsci1937","gramsci1937",NA,0,33,33,0,48,48,13,0.270066518847007,0.378572276109223,0,0,0,2018
"1507","LocalProgress","LocalProgress",NA,0,32,32,0,46,46,12,0.280585734529995,0.379261773579956,0,0,0,2245
"1595","RebColdRiver","RebColdRiver",NA,0,32,32,0,45,45,13,0.266696349065004,0.374305257902921,0,0,0,2336
"4711","elisha1022","elisha1022",NA,0,32,32,0,38,38,13,0.269698334083746,0.381386504424902,0,0,0,5389
"2463","rabbeni_kim","rabbeni_kim",NA,1,31,32,1,39,40,13,0.265108072342303,0.371576011343067,601,0,0,3184
"430","32BJSEIU","32BJSEIU",NA,325,30,355,472,42,514,13,0.266456266907124,0.374507359532741,406185.990041913,0,0,324
"1329","Ah_occ_o","Ah_occ_o",NA,1,30,31,1,50,51,13,0.266190263510496,0.373658584145162,16.4685850097615,0,0,916
"1556","CPDAction","CPDAction",NA,4,30,34,4,31,35,10,0.289422135161606,0.358013724384283,1450446.35849334,0,0,324
"1627","MariaVukmir","MariaVukmir",NA,0,30,30,0,51,51,13,0.265966754155731,0.372506331387911,0,0,0,2371
"3675","LindaKe18525","LindaKe18525",NA,0,30,30,0,48,48,12,0.280718336483932,0.377466038450888,0,0,0,4380
