"","screenName","retweetCount","text","duplicated","Type"
"1","SenSanders",4097,"If someone in America works 40 hours a week, that person should not be living in poverty. #Fightfor15",FALSE,"2"
"2","BernieSanders",3981,"I stand with the workers across the country who are demanding $15 an hour and a union. Keep fighting, sisters and brothers. #FightFor15",FALSE,NA
"3","SenSanders",1821,"Change always happens when millions of people demand it. When the American people stand up and fight, they win. #Fightfor15",FALSE,"2"
"4","SenGillibrand",1765,"I stand with workers calling for a $15/hour minimum wage. No one working full time in the U.S. should have to live in poverty. #fightfor15",FALSE,NA
"5","EconomicPolicy",1459,"If the minimum wage had kept up with economic growth, it would be $18.85 today. #Fightfor15 https://t.co/ipkHAcFnGB https://t.co/tUfiLGfUcX",FALSE,"1"
"6","SenSanders",1387,"In the year 2016, a job has got to lift workers out of poverty, not keep them in it. #FightFor15",FALSE,"2"
"7","SenWarren",1377,"Building economic security starts by raising the min wage to $15/hr &amp; making sure every worker has the right to join a union. #fightfor15",FALSE,"2"
"8","SenWarren",1354,"No one who works full time should live in poverty. Not fast food workers, Uber drivers, or hardworking folks at @BostonLogan. #Fightfor15",FALSE,"2"
"9","RevDrBarber",1275,"""As followers of Christ, how can we not stand with the poor?""

#Fightfor15 https://t.co/AljAqlWTXJ",FALSE,"5"
"10","fightfor15",1154,"83-year old McDoanld's worker Jose Carillo on his 12th strike gets arrested #Fightfor15 https://t.co/Rr17BuznKX",FALSE,"6"
"11","DerrickQLewis",1147,"#Durham police have arrested NAACP NC President Rev. William Barber II #Fightfor15 https://t.co/lPN0KRpOHz",FALSE,"3"
"12","Kaimandante",1129,"Fast food companies have planned on using kiosks for over a decade but they'll tell u it's because of the… https://t.co/WoQ44dR2oy",FALSE,"4"
"13","EconomicPolicy",942,"Low-wage workers are not who you think. #Fightfor15 https://t.co/15ayi1IBib https://t.co/TTX6QuMdK0",FALSE,"1"
"14","fightfor15",933,"BREAKING: Workers getting arrested RIGHT NOW in New York City for peacefully protesting in front of McDonald's… https://t.co/n34N7OG83f",FALSE,"6"
"15","SenWarren",756,"I’m proud to #Fightfor15 alongside workers in Massachusetts &amp; nationwide. #povertydoesntfly https://t.co/zPWmk3aTF3",FALSE,"2"
"16","jwjnational",749,"There are no states where you can you afford rent while working full time on minimum wage. https://t.co/ecqlcUbYsi… https://t.co/gst2SeSgg2",FALSE,"1"
"17","TheMarkRomano",702,"If you dress like this, you should not be surprised that you don't make $15/hr

#Fightfor15 https://t.co/I0dyuPU1Vh",FALSE,"5"
"18","LeahRBoss",699,"No.

You're not getting $15 an hour for putting my cheese halfway on my burger and forgetting to put a straw in the bag.

Nope.  #Fightfor15",FALSE,"5"
"19","MarkRuffalo",677,"4 years. 22 million raises worth $62 Billion. 1 struggle. #FightFor15 Won't Back Down.",FALSE,"5"
"20","scrowder",651,"For you #FightFor15 numbskulls https://t.co/63ZCcO4rsc",FALSE,"5"
"21","TheMarkRomano",624,"Liberals support open borders and illegal immigration which drives down wages, then complain about low wages. #Fightfor15

Geniuses!",FALSE,"5"
"22","Fightfor15LA",603,"This is how we fight.

This is how we win

We. Won't. Back. Down. #fightfor15 https://t.co/uFkLQAFKML",FALSE,"6"
