"id","betweenesscentrality"
"fightfor15",5199445.60672872
"LUCHA_AZ",1483598.56547589
"chifightfor15",1098586.27505671
"Show_Me15",571843.607501322
"People4Bernie",540129.502613037
"Fightfor15LA",506926.439430444
"RaiseUpfor15",466094.148231456
"32BJSEIU",406185.990041913
"GoodAirports",394786.196096819
"fightfor15mass",311673.909027818
"FightFor15FL",247196.907973689
"Marc_Perrone",202527.681808019
"FastFoodForward",183471.292407038
"RaiseUpMA",162665.275766904
"NorCalFF15",131796.73719374
"figue32bj",131663.180531119
"FightFor15PA",131074.440619806
"AFLCIO",130735.672595851
"DerenicByrd",123940.431113433
"JessLivMo",108691.185316761
